clip_id,subject_id,view,side,arm,rep_idx,quality,fps,start_frame,peak_frame,end_frame,min_angle,max_angle,rom,start_angle,peak_angle,end_angle,concentric_ms,eccentric_ms,shoulder_drift_norm,wrist_swing_norm,valid_frame_ratio
clip_001_you_side_right_good,you,side,left,left,0,good,30,32,146,276,53.2942,156.1534,102.8592,153.5727,53.2942,156.1534,3800,4333,0.0459,0.6800,1.0000
clip_001_you_side_right_good,you,side,left,left,1,good,30,276,399,515,55.4805,156.6929,101.2124,156.6929,55.4805,149.3859,4100,3867,0.0357,0.6163,1.0000
clip_001_you_side_right_good,you,side,left,left,2,good,30,515,612,762,54.4355,149.6213,95.1857,149.6213,54.4355,149.4640,3233,5000,0.0371,0.6048,1.0000
clip_001_you_side_right_good,you,side,left,left,3,good,30,762,865,963,51.3657,150.0567,98.6910,148.4915,51.3657,150.0567,3433,3267,0.0419,0.5837,1.0000
clip_001_you_side_right_good,you,side,left,left,4,good,30,963,1063,1139,48.5081,149.5768,101.0687,149.5768,48.5081,142.2954,3333,2533,0.0420,0.6984,1.0000
clip_002_you_side_right_swing,you,side,left,left,0,bad_swing,30,42,170,411,40.9944,153.0679,112.0735,152.5726,40.9944,153.0679,4267,8033,0.0504,0.6583,1.0000
clip_002_you_side_right_swing,you,side,left,left,1,bad_swing,30,411,546,746,44.1295,153.7251,109.5956,153.7251,44.1295,153.5166,4500,6667,0.0511,0.6004,1.0000
clip_002_you_side_right_swing,you,side,left,left,2,bad_swing,30,746,839,1026,47.5680,154.2768,106.7088,154.2768,47.5680,152.1334,3100,6233,0.0447,0.5020,1.0000
clip_002_you_side_right_swing,you,side,left,left,3,bad_swing,30,1026,1170,1320,44.7543,152.6616,107.9073,151.2888,44.7543,152.6616,4800,5000,0.0478,0.5460,1.0000
clip_002_you_side_right_swing,you,side,left,left,4,bad_swing,30,1320,1448,1590,37.9214,152.5645,114.6431,151.1822,37.9214,149.0185,4267,4733,0.0530,0.5550,1.0000
clip_002_you_side_right_swing,you,side,left,left,5,bad_swing,30,1320,1483,1590,37.9214,152.5645,114.6431,151.1822,39.8283,149.0185,5433,3567,0.0530,0.5550,1.0000
clip_002_you_side_right_swing,you,side,left,left,6,bad_swing,30,1590,1737,1894,42.0136,149.4675,107.4539,149.4675,42.0136,148.7766,4900,5233,0.0479,0.5331,1.0000
clip_002_you_side_right_swing,you,side,left,left,7,bad_swing,30,1894,2011,2152,42.4748,151.1573,108.6825,148.1450,42.4748,151.1573,3900,4700,0.0509,0.5635,1.0000
clip_002_you_side_right_swing,you,side,left,left,8,bad_swing,30,2152,2285,2388,48.9250,151.0113,102.0863,150.2415,48.9250,151.0113,4433,3433,0.0386,0.5224,1.0000
